author,feature_class,n_features,mean_abs_deviation,sd_scaled_value
Joseph Smith,function_words,66,0.9230254919939525,1.2533726569695374
Joseph Smith,lexical,2,0.5129160068243385,0.6844385728826269
Joseph Smith,punctuation,6,0.9715826345515972,1.3502777806666224
Joseph Smith,readability,1,0.9983957470048791,1.5235067961267585
Joseph Smith,sentence,5,1.0140594631004702,1.3445038810604228
Joseph Smith,word_length,5,1.136921212381689,1.4410387363613075
Oliver Cowdery,function_words,66,0.7636851226477684,1.0821501464073056
Oliver Cowdery,lexical,2,0.9047325776827142,1.1016024370676156
Oliver Cowdery,punctuation,6,0.7873328583752458,1.1412172752981267
Oliver Cowdery,readability,1,0.7348755249234032,1.5846450510415635
Oliver Cowdery,sentence,5,0.89119122172731835,1.311400496522274
Oliver Cowdery,word_length,5,0.9953236138984198,1.1834497901070102
Sidney Rigdon,function_words,66,0.6365334666322363,0.8549581097095273
Sidney Rigdon,lexical,2,0.48118760499716995,0.6055354343915381
Sidney Rigdon,punctuation,6,0.5662582257919642,0.7685498241602465
Sidney Rigdon,readability,1,0.1398993752542849,0.18370765761438845
Sidney Rigdon,sentence,5,0.5309375480530555,0.6968490146561624
Sidney Rigdon,word_length,5,0.5713717721203777,0.7091751713789475
