doc_id,neighbor_doc_id,votes,weighted_votes,avg_similarity
Isaiah_1,Prophetic,21,3.5500000000000003,0.704228530794072
Isaiah_1,Poetic/Wisdom,5,0.74,0.8232051119319148
Isaiah_1,Narrative,3,0.18000000000000002,0.9460020538541466
Isaiah_10,Prophetic,23,3.85,0.7575894509505916
Isaiah_10,Narrative,5,0.5800000000000001,0.9098508036867092
Isaiah_10,Poetic/Wisdom,1,0.04,0.9960171696864392
Isaiah_11,Prophetic,24,3.6300000000000003,0.7228392167076039
Isaiah_11,Narrative,4,0.8,0.8602137195444118
Isaiah_11,Poetic/Wisdom,1,0.04,0.9959509115134749
Isaiah_12,Poetic/Wisdom,25,4.13,0.6889416300716346
Isaiah_12,Prophetic,2,0.2,0.04885504016574234
Isaiah_12,Narrative,2,0.14,0.7569659491732723
Isaiah_13,Prophetic,26,4.34,0.7296626078855072
Isaiah_13,Poetic/Wisdom,2,0.09,0.9944407841964236
Isaiah_13,Narrative,1,0.04,0.999500595290118
Isaiah_14,Prophetic,23,3.85,0.7559627737002121
Isaiah_14,Poetic/Wisdom,3,0.44,0.9877291723787263
Isaiah_14,Narrative,3,0.18000000000000002,0.9766217474708123
Isaiah_15,Prophetic,23,3.58,0.5857505232062502
Isaiah_15,Poetic/Wisdom,6,0.89,0.9517423486616277
Isaiah_16,Prophetic,23,3.43,0.6828045372615476
Isaiah_16,Poetic/Wisdom,5,0.8400000000000001,0.9759636055900126
Isaiah_16,Narrative,1,0.2,0.865849778265087
Isaiah_17,Prophetic,22,3.54,0.6940381651061854
Isaiah_17,Narrative,6,0.89,0.8886386928281427
Isaiah_17,Poetic/Wisdom,1,0.04,0.9945880483058136
Isaiah_18,Prophetic,25,3.98,0.6447046605972291
Isaiah_18,Narrative,3,0.45,0.995293768020467
Isaiah_18,Poetic/Wisdom,1,0.04,0.9935511464806192
Isaiah_19,Prophetic,24,3.94,0.7198440472578672
Isaiah_19,Narrative,4,0.49000000000000005,0.9960458709463613
Isaiah_19,Poetic/Wisdom,1,0.04,0.9967746634685796
Isaiah_2,Prophetic,26,4.03,0.7565104839089417
Isaiah_2,Narrative,2,0.4,0.633842718223527
Isaiah_2,Poetic/Wisdom,1,0.04,0.9966628240295978
Isaiah_20,Narrative,15,2.5,0.6576197500214382
Isaiah_20,Prophetic,11,1.53,0.6041665986621759
Isaiah_20,Poetic/Wisdom,3,0.44,0.6528443715362183
Isaiah_21,Prophetic,21,3.45,0.6552485216717823
Isaiah_21,Poetic/Wisdom,7,0.9800000000000001,0.8192806384352397
Isaiah_21,Narrative,1,0.04,0.9996761973720514
Isaiah_22,Prophetic,21,3.3400000000000003,0.7248142276139458
Isaiah_22,Narrative,7,1.09,0.9374443103623
Isaiah_22,Poetic/Wisdom,1,0.04,0.9947513942876338
Isaiah_23,Prophetic,17,2.65,0.53511525145185
Isaiah_23,Poetic/Wisdom,7,1.24,0.9393510670493412
Isaiah_23,Narrative,5,0.5800000000000001,0.954974241006229
Isaiah_24,Prophetic,19,3.2,0.6345252937529291
Isaiah_24,Poetic/Wisdom,4,0.64,0.9456877952849689
Isaiah_24,Narrative,6,0.63,0.9630965666183382
Isaiah_25,Prophetic,19,2.94,0.6331038165883861
Isaiah_25,Poetic/Wisdom,7,1.09,0.9708154535984543
Isaiah_25,Narrative,3,0.44,0.895936160883024
Isaiah_26,Poetic/Wisdom,19,3.24,0.7272273610076967
Isaiah_26,Prophetic,7,1.05,0.6228407347650874
Isaiah_26,Narrative,3,0.18000000000000002,0.9405550411776429
Isaiah_27,Prophetic,16,2.6,0.5857716087695893
Isaiah_27,Narrative,7,0.9800000000000001,0.9248759657858262
Isaiah_27,Poetic/Wisdom,6,0.89,0.9536337306892547
Isaiah_28,Prophetic,18,2.59,0.62208723487524
Isaiah_28,Poetic/Wisdom,8,1.4400000000000002,0.948427990977753
Isaiah_28,Narrative,3,0.44,0.8610100555018174
Isaiah_29,Prophetic,27,4.38,0.7480984454814148
Isaiah_29,Narrative,1,0.05,0.9970645240881149
Isaiah_29,Poetic/Wisdom,1,0.04,0.9955089280272581
Isaiah_3,Prophetic,22,3.8000000000000003,0.6918707348952173
Isaiah_3,Narrative,6,0.63,0.9695801379341566
Isaiah_3,Poetic/Wisdom,1,0.04,0.994096515723869
Isaiah_30,Prophetic,27,4.23,0.7805281810953428
Isaiah_30,Narrative,1,0.2,0.76772597934862
Isaiah_30,Poetic/Wisdom,1,0.04,0.9958427322440633
Isaiah_31,Prophetic,20,2.83,0.6428006886911835
Isaiah_31,Poetic/Wisdom,7,1.24,0.9656164835909964
Isaiah_31,Narrative,2,0.4,0.8107963568403755
Isaiah_32,Prophetic,23,3.85,0.6278056859536952
Isaiah_32,Poetic/Wisdom,3,0.44,0.9743750031339962
Isaiah_32,Narrative,3,0.18000000000000002,0.9564246404552578
Isaiah_33,Prophetic,15,2.5500000000000003,0.6332575018831306
Isaiah_33,Poetic/Wisdom,8,0.98,0.7757151732588592
Isaiah_33,Narrative,6,0.9400000000000001,0.8881541175644067
Isaiah_34,Prophetic,26,4.03,0.6961798007559754
Isaiah_34,Poetic/Wisdom,3,0.44,0.9550863075332497
Isaiah_35,Prophetic,26,4.03,0.662431400869278
Isaiah_35,Narrative,2,0.4,0.9913597987742209
Isaiah_35,Poetic/Wisdom,1,0.04,0.9908188311217222
Isaiah_36,Narrative,20,2.83,0.6708886550204757
Isaiah_36,Prophetic,5,1,0.9524346749026744
Isaiah_36,Poetic/Wisdom,4,0.64,0.8685793600698444
Isaiah_37,Prophetic,14,2.13,0.7970472859984837
Isaiah_37,Narrative,12,1.9000000000000001,0.7876726578206632
Isaiah_37,Poetic/Wisdom,3,0.44,0.949339153358029
Isaiah_38,Prophetic,20,3.14,0.6625953164830887
Isaiah_38,Poetic/Wisdom,7,1.24,0.9309639297442455
Isaiah_38,Narrative,2,0.09,0.9957352075877164
Isaiah_39,Prophetic,13,2.2,0.4635924194138521
Isaiah_39,Narrative,12,1.76,0.8522858712942322
Isaiah_39,Poetic/Wisdom,4,0.51,0.9350941334081373
Isaiah_4,Prophetic,24,3.7800000000000002,0.6567009144690418
Isaiah_4,Narrative,3,0.45,0.5648538946614303
Isaiah_4,Poetic/Wisdom,2,0.24000000000000002,0.9486677969169377
Isaiah_40,Prophetic,19,3.0500000000000003,0.6803193681230969
Isaiah_40,Poetic/Wisdom,6,0.88,0.9850222734902832
Isaiah_40,Narrative,4,0.54,0.8495869896614605
Isaiah_41,Prophetic,21,3.5,0.6983411434516849
Isaiah_41,Narrative,5,0.5800000000000001,0.9590908836987211
Isaiah_41,Poetic/Wisdom,3,0.39,0.8978173977372499
Isaiah_42,Prophetic,21,3.45,0.6745133684336163
Isaiah_42,Poetic/Wisdom,6,0.88,0.9520429718979102
Isaiah_42,Narrative,2,0.14,0.9637300941770041
Isaiah_43,Prophetic,13,2.15,0.5898005221590862
Isaiah_43,Poetic/Wisdom,13,2.14,0.8664496538151168
Isaiah_43,Narrative,3,0.18000000000000002,0.9631697162545438
Isaiah_44,Prophetic,20,2.7800000000000002,0.6930181930629414
Isaiah_44,Poetic/Wisdom,8,1.49,0.9355351886444327
Isaiah_44,Narrative,1,0.2,0.958769445261038
Isaiah_45,Prophetic,20,3.3000000000000003,0.6881181880747541
Isaiah_45,Narrative,7,0.9800000000000001,0.9767521551144637
Isaiah_45,Poetic/Wisdom,2,0.19,0.8591573734420621
Isaiah_46,Prophetic,19,2.68,0.5685859131717474
Isaiah_46,Narrative,6,1.2000000000000002,0.9335080713948084
Isaiah_46,Poetic/Wisdom,4,0.59,0.7958302095415549
Isaiah_47,Poetic/Wisdom,15,2.49,0.7712825896049662
Isaiah_47,Prophetic,14,1.98,0.6160321480940677
Isaiah_48,Prophetic,20,3.0700000000000003,0.6592847835557067
Isaiah_48,Poetic/Wisdom,7,1.29,0.8500024547464804
Isaiah_48,Narrative,2,0.11000000000000001,0.9793159228110374
Isaiah_49,Prophetic,22,3.52,0.7414871560712529
Isaiah_49,Poetic/Wisdom,5,0.8400000000000001,0.9374517518816459
Isaiah_49,Narrative,2,0.11000000000000001,0.9512098183682149
Isaiah_5,Prophetic,26,4.03,0.7511007072351095
Isaiah_5,Narrative,2,0.4,0.9678613488641283
Isaiah_5,Poetic/Wisdom,1,0.04,0.9954365253820371
Isaiah_50,Poetic/Wisdom,19,2.97,0.7855329998635574
Isaiah_50,Prophetic,10,1.5,0.5106979860129929
Isaiah_51,Prophetic,27,4.23,0.7769683793347955
Isaiah_51,Poetic/Wisdom,2,0.24000000000000002,0.9501772848138208
Isaiah_52,Prophetic,19,2.97,0.6019621722987526
Isaiah_52,Poetic/Wisdom,8,1.3900000000000001,0.8807714904166707
Isaiah_52,Narrative,2,0.11000000000000001,0.9207787438703705
Isaiah_53,Poetic/Wisdom,14,2.14,0.6527664357449874
Isaiah_53,Narrative,7,1.24,0.849474583791647
Isaiah_53,Prophetic,8,1.09,0.6409360989140325
Isaiah_54,Prophetic,17,2.38,0.6038080601600311
Isaiah_54,Poetic/Wisdom,12,2.0900000000000003,0.8987673075928214
Isaiah_55,Prophetic,20,3.12,0.6173871269780419
Isaiah_55,Poetic/Wisdom,6,1.04,0.8730715754000663
Isaiah_55,Narrative,3,0.31,0.9585139530077716
Isaiah_56,Prophetic,21,3.18,0.6987108466669699
Isaiah_56,Poetic/Wisdom,6,0.89,0.6486127252189277
Isaiah_56,Narrative,2,0.4,0.8928634068580394
Isaiah_57,Poetic/Wisdom,15,2.64,0.7481637069485868
Isaiah_57,Prophetic,8,1.05,0.5562927920951352
Isaiah_57,Narrative,6,0.78,0.9756443921049963
Isaiah_58,Prophetic,14,2,0.5361470249407756
Isaiah_58,Narrative,9,1.3800000000000001,0.9605620185829533
Isaiah_58,Poetic/Wisdom,6,1.09,0.8136326477065196
Isaiah_59,Poetic/Wisdom,17,3.04,0.7715631400712435
Isaiah_59,Prophetic,9,0.8300000000000001,0.5081593408093762
Isaiah_59,Narrative,3,0.6000000000000001,0.8383809952868596
Isaiah_6,Prophetic,16,2.14,0.5397354026675576
Isaiah_6,Narrative,8,1.49,0.9532259978304598
Isaiah_6,Poetic/Wisdom,5,0.8400000000000001,0.8924136361650449
Isaiah_60,Prophetic,25,3.83,0.7069940244923658
Isaiah_60,Poetic/Wisdom,4,0.64,0.8723838268208073
Isaiah_61,Prophetic,24,3.6300000000000003,0.6910708456259593
Isaiah_61,Poetic/Wisdom,5,0.8400000000000001,0.9730366399645389
Isaiah_62,Prophetic,20,2.83,0.6464092183697148
Isaiah_62,Poetic/Wisdom,9,1.6400000000000001,0.9071777644978571
Isaiah_63,Poetic/Wisdom,17,2.7800000000000002,0.790863665512609
Isaiah_63,Narrative,7,1.24,0.9284296046425835
Isaiah_63,Prophetic,5,0.45,0.30507079801332804
Isaiah_64,Poetic/Wisdom,23,4.04,0.6049739038639577
Isaiah_64,Prophetic,5,0.39,0.5749679528632863
Isaiah_64,Narrative,1,0.04,0.9995952547371733
Isaiah_65,Prophetic,22,3.23,0.6968029023339828
Isaiah_65,Poetic/Wisdom,7,1.24,0.9585567052649366
Isaiah_66,Prophetic,21,3.45,0.7078777082775007
Isaiah_66,Narrative,5,0.5800000000000001,0.9569443483459702
Isaiah_66,Poetic/Wisdom,3,0.44,0.9376843308514522
Isaiah_7,Prophetic,26,4.18,0.7548455594920648
Isaiah_7,Narrative,2,0.25,0.8885122681618229
Isaiah_7,Poetic/Wisdom,1,0.04,0.9959609815855675
Isaiah_8,Prophetic,21,3.29,0.6799953341516722
Isaiah_8,Narrative,5,0.74,0.951821515572508
Isaiah_8,Poetic/Wisdom,3,0.44,0.9463910902484998
Isaiah_9,Prophetic,22,3.64,0.7133287734975494
Isaiah_9,Narrative,5,0.5900000000000001,0.8564160909548573
Isaiah_9,Poetic/Wisdom,2,0.24000000000000002,0.9939289724217404
