doc_id,chapter,actual_section,sentence_winner,sentence_winner_pct,sentence_margin,full_winner,full_winner_pct,full_margin,same_winner
Isaiah_1,1,Isaiah_1_35,Hosea,100,100,Isaiah_1_35,56.666666666666664,46.666666666666664,FALSE
Isaiah_2,2,Isaiah_1_35,Jeremiah,100,100,Isaiah_1_35,73.33333333333333,66.66666666666666,FALSE
Isaiah_3,3,Isaiah_1_35,Amos,100,100,Isaiah_1_35,60,40,FALSE
Isaiah_4,4,Isaiah_1_35,Ezekiel,100,100,Isaiah_1_35,50,40,FALSE
Isaiah_5,5,Isaiah_1_35,Amos,100,100,Isaiah_1_35,46.666666666666664,33.333333333333336,FALSE
Isaiah_6,6,Isaiah_1_35,Isaiah_36_39,100,100,Isaiah_1_35,43.333333333333336,30.000000000000004,FALSE
Isaiah_7,7,Isaiah_1_35,Isaiah_1_35,100,100,Isaiah_1_35,80,73.33333333333334,TRUE
Isaiah_8,8,Isaiah_1_35,Isaiah_40_55,50,0,Isaiah_1_35,60,50,FALSE
Isaiah_9,9,Isaiah_1_35,2 Samuel,100,100,Isaiah_1_35,66.66666666666666,53.333333333333336,FALSE
Isaiah_10,10,Isaiah_1_35,Amos,100,100,Isaiah_1_35,70,60,FALSE
Isaiah_11,11,Isaiah_1_35,Ezekiel,50,0,Isaiah_1_35,60,46.666666666666664,FALSE
Isaiah_12,12,Isaiah_1_35,Hosea,100,100,Psalms,36.666666666666664,23.333333333333332,FALSE
Isaiah_13,13,Isaiah_1_35,Hosea,100,100,Isaiah_1_35,70,56.666666666666664,FALSE
Isaiah_14,14,Isaiah_1_35,2 Samuel,100,100,Isaiah_1_35,50,40,FALSE
Isaiah_15,15,Isaiah_1_35,Isaiah_36_39,50,0,Isaiah_1_35,56.666666666666664,43.333333333333336,FALSE
Isaiah_16,16,Isaiah_1_35,Isaiah_56_66,100,100,Isaiah_1_35,66.66666666666666,53.333333333333336,FALSE
Isaiah_17,17,Isaiah_1_35,Isaiah_56_66,100,100,Isaiah_1_35,70,60,FALSE
Isaiah_18,18,Isaiah_1_35,Ezekiel,100,100,Isaiah_1_35,53.333333333333336,36.66666666666667,FALSE
Isaiah_19,19,Isaiah_1_35,Isaiah_56_66,50,0,Isaiah_1_35,60,50,FALSE
Isaiah_20,20,Isaiah_1_35,Amos,100,100,Isaiah_1_35,30,13.333333333333334,FALSE
Isaiah_21,21,Isaiah_1_35,Job,100,100,Isaiah_1_35,50,36.66666666666667,FALSE
Isaiah_22,22,Isaiah_1_35,Isaiah_56_66,100,100,Isaiah_1_35,40,13.333333333333336,FALSE
Isaiah_23,23,Isaiah_1_35,Hosea,100,100,Isaiah_1_35,46.666666666666664,33.333333333333336,FALSE
Isaiah_24,24,Isaiah_1_35,2 Samuel,100,100,Isaiah_1_35,56.666666666666664,43.333333333333336,FALSE
Isaiah_25,25,Isaiah_1_35,Ezekiel,100,100,Isaiah_1_35,53.333333333333336,43.333333333333336,FALSE
Isaiah_26,26,Isaiah_1_35,Hosea,100,100,Psalms,46.666666666666664,26.666666666666668,FALSE
Isaiah_27,27,Isaiah_1_35,Isaiah_1_35,100,100,Isaiah_1_35,56.666666666666664,46.666666666666664,TRUE
Isaiah_28,28,Isaiah_1_35,Amos,100,100,Isaiah_1_35,50,33.333333333333336,FALSE
Isaiah_29,29,Isaiah_1_35,Isaiah_36_39,100,100,Isaiah_1_35,70,56.666666666666664,FALSE
Isaiah_30,30,Isaiah_1_35,Ezekiel,100,100,Isaiah_1_35,66.66666666666666,56.666666666666664,FALSE
Isaiah_31,31,Isaiah_1_35,Isaiah_56_66,100,100,Isaiah_1_35,40,26.66666666666667,FALSE
Isaiah_32,32,Isaiah_1_35,2 Samuel,100,100,Isaiah_1_35,66.66666666666666,53.333333333333336,FALSE
Isaiah_33,33,Isaiah_1_35,Hosea,50,0,Isaiah_1_35,70,60,FALSE
Isaiah_34,34,Isaiah_1_35,Isaiah_56_66,100,100,Isaiah_1_35,60,46.666666666666664,FALSE
Isaiah_35,35,Isaiah_1_35,Ezekiel,100,100,Isaiah_1_35,76.66666666666667,66.66666666666667,FALSE
Isaiah_36,36,Isaiah_36_39,Hosea,100,100,Isaiah_36_39,76.66666666666667,70,FALSE
Isaiah_37,37,Isaiah_36_39,Ezekiel,100,100,Isaiah_36_39,80,73.33333333333334,FALSE
Isaiah_38,38,Isaiah_36_39,Isaiah_36_39,100,100,Isaiah_36_39,56.666666666666664,43.333333333333336,TRUE
Isaiah_39,39,Isaiah_36_39,1 Samuel,100,100,Isaiah_36_39,53.333333333333336,40,FALSE
Isaiah_40,40,Isaiah_40_55,Amos,100,100,Isaiah_40_55,56.666666666666664,43.333333333333336,FALSE
Isaiah_41,41,Isaiah_40_55,Isaiah_40_55,50,0,Isaiah_40_55,66.66666666666666,56.666666666666664,TRUE
Isaiah_42,42,Isaiah_40_55,2 Samuel,100,100,Isaiah_40_55,70,63.33333333333333,FALSE
Isaiah_43,43,Isaiah_40_55,2 Samuel,100,100,Isaiah_40_55,63.33333333333333,53.333333333333336,FALSE
Isaiah_44,44,Isaiah_40_55,Jeremiah,100,100,Isaiah_40_55,76.66666666666667,70,FALSE
Isaiah_45,45,Isaiah_40_55,2 Kings,100,100,Isaiah_40_55,63.33333333333333,53.333333333333336,FALSE
Isaiah_46,46,Isaiah_40_55,Amos,100,100,Isaiah_40_55,50,33.333333333333336,FALSE
Isaiah_47,47,Isaiah_40_55,Isaiah_56_66,100,100,Isaiah_40_55,46.666666666666664,20,FALSE
Isaiah_48,48,Isaiah_40_55,Isaiah_56_66,100,100,Isaiah_40_55,63.33333333333333,50,FALSE
Isaiah_49,49,Isaiah_40_55,Amos,100,100,Isaiah_40_55,63.33333333333333,56.666666666666664,FALSE
Isaiah_50,50,Isaiah_40_55,Job,100,100,Isaiah_40_55,40,20,FALSE
Isaiah_51,51,Isaiah_40_55,Ezekiel,100,100,Isaiah_40_55,43.333333333333336,26.66666666666667,FALSE
Isaiah_52,52,Isaiah_40_55,Hosea,100,100,Isaiah_40_55,56.666666666666664,43.333333333333336,FALSE
Isaiah_53,53,Isaiah_40_55,Isaiah_36_39,100,100,Isaiah_40_55,33.33333333333333,16.666666666666664,FALSE
Isaiah_54,54,Isaiah_40_55,Ezekiel,100,100,Isaiah_40_55,50,33.333333333333336,FALSE
Isaiah_55,55,Isaiah_40_55,Amos,100,100,Isaiah_40_55,56.666666666666664,43.333333333333336,FALSE
Isaiah_56,56,Isaiah_56_66,Ezekiel,100,100,Isaiah_56_66,50,33.333333333333336,FALSE
Isaiah_57,57,Isaiah_56_66,2 Samuel,100,100,Isaiah_56_66,53.333333333333336,43.333333333333336,FALSE
Isaiah_58,58,Isaiah_56_66,1 Samuel,100,100,Isaiah_56_66,56.666666666666664,36.666666666666664,FALSE
Isaiah_59,59,Isaiah_56_66,Hosea,100,100,Isaiah_56_66,60,50,FALSE
Isaiah_60,60,Isaiah_56_66,Isaiah_56_66,100,100,Isaiah_56_66,70,53.333333333333336,TRUE
Isaiah_61,61,Isaiah_56_66,Ezekiel,100,100,Isaiah_56_66,50,36.66666666666667,FALSE
Isaiah_62,62,Isaiah_56_66,Ezekiel,100,100,Isaiah_56_66,56.666666666666664,46.666666666666664,FALSE
Isaiah_63,63,Isaiah_56_66,2 Samuel,100,100,Isaiah_56_66,43.333333333333336,30.000000000000004,FALSE
Isaiah_64,64,Isaiah_56_66,Isaiah_56_66,100,100,Isaiah_56_66,70,56.666666666666664,TRUE
Isaiah_65,65,Isaiah_56_66,Ezekiel,100,100,Isaiah_56_66,53.333333333333336,40,FALSE
Isaiah_66,66,Isaiah_56_66,Amos,100,100,Isaiah_56_66,66.66666666666666,56.666666666666664,FALSE
