doc_section,neighbor_section,total_votes,total_similarity,n_target_docs,vote_share,similarity_share
Isaiah_1_35,Isaiah_1_35,578,400.2604009482649,35,0.3302857142857143,0.31460012100828727
Isaiah_1_35,Psalms,445,346.7737086538003,35,0.2542857142857143,0.27256018943297633
Isaiah_1_35,Jeremiah,364,263.7625716636609,35,0.208,0.2073143802540941
Isaiah_1_35,Ezekiel,134,97.83816240486448,34,0.07657142857142857,0.07689968245391639
Isaiah_1_35,Isaiah_40_55,53,39.25171398543568,23,0.030285714285714287,0.030851400589080123
Isaiah_1_35,2 Kings,32,22.66535192127712,14,0.018285714285714287,0.017814708725210227
Isaiah_1_35,1 Kings,31,22.66942345478638,20,0.017714285714285714,0.01781790890422286
Isaiah_1_35,Hosea,24,17.82156322391578,20,0.013714285714285714,0.014007545921399876
Isaiah_1_35,Amos,22,13.654247115780972,16,0.012571428571428572,0.01073208287586005
Isaiah_1_35,Proverbs,18,12.792796857310956,10,0.010285714285714285,0.010054992774228146
Isaiah_1_35,Isaiah_56_66,16,9.93441762459426,11,0.009142857142857144,0.007808339219767537
Isaiah_1_35,1 Samuel,13,10.620355620488974,11,0.0074285714285714285,0.008347478679982466
Isaiah_1_35,2 Samuel,8,7.1533607810897015,6,0.004571428571428572,0.0056224601834585055
Isaiah_1_35,Isaiah_36_39,7,4.371169890757191,4,0.004,0.0034356897992458162
Isaiah_1_35,Job,5,2.71380414218706,5,0.002857142857142857,0.002133019178270379
Isaiah_36_39,2 Kings,64,47.54684461786166,4,0.32,0.31444661797259593
Isaiah_36_39,Jeremiah,49,34.79306150601678,4,0.245,0.23010066403795618
Isaiah_36_39,Psalms,34,28.04332914907861,4,0.17,0.18546193924102017
Isaiah_36_39,Isaiah_36_39,28,21.27249621389127,4,0.14,0.14068366773975402
Isaiah_36_39,1 Kings,8,6.676606091670188,3,0.04,0.0441551110685532
Isaiah_36_39,Isaiah_40_55,5,3.9137167285710426,3,0.025,0.025883000205225465
Isaiah_36_39,Hosea,4,2.963423002241256,4,0.02,0.019598321364250975
Isaiah_36_39,1 Samuel,3,2.3904642131330496,2,0.015,0.01580911190312371
Isaiah_36_39,Isaiah_1_35,2,1.1575274091827448,2,0.01,0.007655199455472608
Isaiah_36_39,Ezekiel,1,0.7268195956803173,1,0.005,0.0048067535411598855
Isaiah_36_39,Isaiah_56_66,1,0.8703748456151472,1,0.005,0.005756142784484359
Isaiah_36_39,Job,1,0.853337922862541,1,0.005,0.005643470686403535
Isaiah_40_55,Jeremiah,190,135.24436341269674,16,0.2375,0.23421370015717052
Isaiah_40_55,Psalms,189,151.89339152561126,16,0.23625,0.2630461807127364
Isaiah_40_55,Isaiah_40_55,180,123.74390123269153,16,0.225,0.21429741135423364
Isaiah_40_55,Ezekiel,64,43.94427109668276,12,0.08,0.07610188014162833
Isaiah_40_55,Isaiah_1_35,54,37.165226076898875,13,0.0675,0.06436205470601564
Isaiah_40_55,Isaiah_56_66,40,27.366252320146703,12,0.05,0.047392372248280946
Isaiah_40_55,Hosea,21,13.634281334855116,14,0.02625,0.02361159755453788
Isaiah_40_55,1 Kings,14,9.343230571366856,11,0.0175,0.01618043479463771
Isaiah_40_55,1 Samuel,11,8.147294076800232,6,0.01375,0.014109333977735582
Isaiah_40_55,Amos,11,7.026556662190351,7,0.01375,0.012168461543892482
Isaiah_40_55,Isaiah_36_39,10,8.370396437474222,6,0.0125,0.01449569854102465
Isaiah_40_55,Job,9,6.024388630449151,3,0.01125,0.010432925385708313
Isaiah_40_55,2 Samuel,4,3.1836342442583705,3,0.005,0.005513359207581056
Isaiah_40_55,Proverbs,2,1.6635526863323205,2,0.0025,0.002880909933993711
Isaiah_40_55,2 Kings,1,0.689278451934849,1,0.00125,0.0011936797408232066
Isaiah_56_66,Psalms,144,111.64813430705838,11,0.26181818181818184,0.28203319520575504
Isaiah_56_66,Jeremiah,137,95.77108260930845,11,0.24909090909090909,0.2419263394257182
Isaiah_56_66,Isaiah_1_35,57,42.359075476344096,11,0.10363636363636364,0.10700282164768603
Isaiah_56_66,Isaiah_40_55,52,35.86886668727583,11,0.09454545454545454,0.09060797247538173
Isaiah_56_66,Ezekiel,51,37.516457061138134,10,0.09272727272727273,0.09476993344691631
Isaiah_56_66,Isaiah_56_66,33,19.905860061246916,10,0.06,0.05028398684166073
Isaiah_56_66,1 Kings,18,13.196472392050033,9,0.03272727272727273,0.03333547217133488
Isaiah_56_66,Hosea,14,10.290131575687251,10,0.025454545454545455,0.025993794749826212
Isaiah_56_66,1 Samuel,13,9.66152760073391,4,0.023636363636363636,0.02440588476211833
Isaiah_56_66,2 Kings,7,4.619718319380069,5,0.012727272727272728,0.011669822578333504
Isaiah_56_66,2 Samuel,6,4.526831884004662,4,0.01090909090909091,0.011435183116395423
Isaiah_56_66,Job,6,3.8598514970049465,3,0.01090909090909091,0.009750330871863035
Isaiah_56_66,Proverbs,6,3.1164156961684295,4,0.01090909090909091,0.007872345398647503
Isaiah_56_66,Amos,5,2.9042731206775976,5,0.00909090909090909,0.007336454236863218
Isaiah_56_66,Isaiah_36_39,1,0.6240724983047948,1,0.0018181818181818182,0.001576463071499907
